imdbID,isAdult,movie_name,movie_date,box_office,runtime,language,countries,genres,author_book,year_book,rating,numVotes
tt0016214,0,perilsofthewild,1925,,,"Silent film, English Language",United States of America,"Silent film, Adventure, Black-and-white, Indie",Johann David Wyss,1812,5.6,26
tt0016220,0,thephantomoftheopera,1925,2000000.0,106.0,"Silent film, English Language, American English","United States of America, England","Horror, Silent film, Drama",Gaston Leroux,1909–1910,7.5,20644
tt0016395,0,stelladallas,1925,,110.0,"Silent film, English Language",United States of America,"Silent film, Drama, Black-and-white",Olive Higgins Prouty,1923,7.3,433
tt0016430,0,thethunderingherd,1925,,70.0,"Silent film, English Language",United States of America,"Silent film, Western, Black-and-white, Indie",Zane Grey,1925,6.0,33
tt0016480,0,thevanishingamerican,1925,,103.0,"Silent film, English Language",United States of America,"Action/Adventure, Silent film, Western, Drama, Epic",Zane Grey,1925,6.9,378
tt0016634,0,beaugeste,1926,,101.0,"Silent film, English Language",United States of America,"Silent film, Indie, Foreign legion, Black-and-white, Drama, War film, Action, Adventure",P. C. Wren,1924,7.0,497
tt0017103,0,themagician,1926,,83.0,"Silent film, English Language",United States of America,"Silent film, Horror, Black-and-white",W. Somerset Maugham,1908,6.8,900
tt0017350,0,thescarletletter,1926,,115.0,"Silent film, English Language",United States of America,"History, Silent film, Drama, Indie, Black-and-white",Nathaniel Hawthorne,1850,7.6,1988
tt0017354,0,theseabeast,1926,,133.0,"Silent film, English Language",United States of America,"Silent film, Indie, Black-and-white, Drama, Film adaptation, Adventure",Herman Melville,1851,6.2,224
tt0017731,0,camille,1926,,33.0,"French Language, English Language",United States of America,"Short Film, Silent film, Black-and-white", fils,1848,5.1,54
tt0017752,0,thechineseparrot,1927,,,English Language,United States of America,"Mystery, Silent film, Black-and-white",Earl Derr Biggers,1926,6.0,31
tt0017917,0,thegardenofallah,1927,,96.0,"Silent film, English Language",United States of America,Silent film,Robert Smythe Hichens,1904,6.7,26
tt0018199,0,nevada,1927,,,,United States of America,Western,Zane Grey,1928,6.1,139
tt0018464,0,tarzanandthegoldenlion,1927,,57.0,English Language,United States of America,"Silent film, Jungle Film, Adventure, Black-and-white",Edgar Rice Burroughs,1912–1965,5.1,241
tt0018618,0,acrosstosingapore,1928,,78.0,English Language,United States of America,"Silent film, Melodrama, Drama, Adventure",Ben Ames Williams,1919,6.2,1219
tt0018681,0,beausabreur,1928,,,,,Silent film,P. C. Wren,1924,6.1,71
tt0018908,0,thefourfeathers,1929,,,English Language,United States of America,"Silent film, Adventure, Black-and-white, War film",A. E. W. Mason,1902,7.0,353
tt0019356,0,thetriumphofthescarletpimpernel,1928,,80.0,English Language,United Kingdom,"Drama, Adventure",Baroness Orczy,1922,5.8,16
tt0019447,0,tarzanthemighty,1928,,,"Silent film, English Language",,"Jungle Film, Silent film, Action, Adventure, Black-and-white",Edgar Rice Burroughs,1912–1965,6.1,59
tt0019550,0,thewaterhole,1928,,70.0,"Silent film, English Language",United States of America,"Silent film, Western",Zane Grey,1927–1928,4.2,21
tt0019684,0,behindthatcurtain,1929,,91.0,English Language,United States of America,"Mystery, Black-and-white",Earl Derr Biggers,1928,4.8,565
tt0019722,0,thebridgeofsanluisrey,1929,,90.0,English Language,United States of America,"Silent film, Drama, Indie, Black-and-white",Thornton Wilder,1927,6.9,106
tt0020030,0,theironmask,1929,,87.0,English Language,United States of America,"Swashbuckler films, Silent film, Adventure, History, Black-and-white, Action/Adventure, Drama, Costume drama, Romantic drama, Romance Film, Action", père,1847–1850,7.0,1429
tt0020198,0,themysteriousisland,1929,,95.0,English Language,United States of America,"Romance Film, Science Fiction, Adventure",Jules Verne,1874,6.1,864
tt0020448,0,stairsofsand,1929,,,English Language,United States of America,"Western, Romance Film",Zane Grey,1929,6.0,20
tt0020481,0,tarzanthetiger,1929,,266.0,English Language,United States of America,"Silent film, Indie, Black-and-white, Action/Adventure, Drama, Action, Adventure",Edgar Rice Burroughs,1912–1965,5.3,155
tt0020556,0,thevirginian,1929,,91.0,English Language,United States of America,"Western, Black-and-white",Owen Wister,1902,6.7,887
tt0020590,0,thewildparty,1929,,77.0,English Language,United States of America,"Drama, Comedy",Samuel Hopkins Adams,1927,6.2,578
tt0020629,0,allquietonthewesternfront,1930,,145.0,"French Language, Latin Language, English Language, German Language",United States of America,"War film, Black-and-white, Drama, Film adaptation, Pre-Code, Action",Erich Maria Remarque,1929,8.1,68807
tt0020673,0,beauideal,1931,575000.0,,,United States of America,"Romance Film, Adventure, War film",P. C. Wren,1924,4.9,250
tt0020999,0,theindiansarecoming,1930,,,English Language,United States of America,"Silent film, Indie, Black-and-white, Western, Action, Adventure","William ""Buffalo Bill"" Cody[N 22]",1916–1917,5.8,70
tt0021051,0,thelastoftheduanes,1930,,54.0,English Language,United States of America,"Romance Film, Action, Western, Adventure",Zane Grey,1913,5.6,84
tt0021079,0,littlecaesar,1931,,80.0,English Language,United States of America,"Crime Fiction, Gangster Film, Crime Drama, Black-and-white, Mystery, Pre-Code, Drama",W. R. Burnett,1929,7.2,14815
tt0021149,0,mobydick,1930,,80.0,English Language,United States of America,"Adventure, Black-and-white",Herman Melville,1851,5.7,648
tt0021412,0,thespoilers,1930,,86.0,English Language,United States of America,"Western, Action",Rex Beach,1906,7.1,94
tt0021483,0,tomsawyer,1930,,86.0,English Language,United States of America,"Comedy film, Drama, Adventure",Mark Twain,1876,6.2,240
tt0021568,0,youngmanofmanhattan,1930,,79.0,English Language,United States of America,"Romance Film, Comedy, Black-and-white",Katharine Brush,1930,6.0,228
tt0021622,0,arrowsmith,1931,,108.0,"Swedish Language, Italian Language, English Language",United States of America,"Melodrama, Drama, Medical fiction, Black-and-white",Sinclair Lewis,1925,6.2,2054
tt0021635,0,badgirl,1931,,90.0,English Language,United States of America,"Pre-Code, Romantic drama, Romance Film, Drama, Black-and-white",Viña Delmar,1928,6.4,1681
tt0021668,0,theblackcamel,1931,,71.0,English Language,United States of America,"Thriller, Mystery, Drama, Black-and-white, Film adaptation",Earl Derr Biggers,1929,6.6,1696
tt0021746,0,cimarron,1931,1383000.0,123.0,English Language,United States of America,"Action/Adventure, Western, Drama, Black-and-white, Film adaptation",Edna Ferber,1929,5.8,7093
tt0021759,0,aconnecticutyankee,1931,,95.0,English Language,United States of America,"Fantasy Comedy, Fantasy, Comedy",Mark Twain,1889,6.3,459
tt0021814,0,dracula,1931,,104.0,Spanish Language,United States of America,"Horror, Black-and-white",Bram Stoker,1897,7.4,60840
tt0021861,0,fightingcaravans,1931,,92.0,English Language,United States of America,"Adventure, Black-and-white, Action/Adventure, Western, B-Western, Romantic drama, Romance Film, Action",Zane Grey,1929,5.7,741
tt0021884,0,frankenstein,1931,12000000.0,65.0,English Language,United States of America,"Science Fiction, Horror, Black-and-white, Monster",Mary Shelley,1818,7.8,82076
tt0021981,0,huckleberryfinn,1931,,80.0,English Language,United States of America,Comedy film,Mark Twain,1884,6.3,130
tt0022054,0,thelastflight,1931,,76.0,English Language,United States of America,"Drama, Black-and-white",John Monk Saunders,1931,6.9,1404
tt0022111,0,themaltesefalcon,1931,,80.0,English Language,United States of America,"LGBT, Crime Fiction, Detective fiction, Detective, Black-and-white, Mystery, Pre-Code, Romance Film, Film noir, Thriller",Dashiell Hammett,1930,6.8,3411
tt0022286,0,thepublicenemy,1931,,96.0,English Language,United States of America,"Crime Fiction, Gangster Film, Crime Drama, Black-and-white, Drama, Pre-Code",John BrightandKubec Glasmon,1930,7.6,23473
tt0022308,0,scarletdawn,1932,,,,United States of America,"Romance Film, Historical fiction, Drama", Jr.,1929,5.9,312
tt0022418,0,thespeckledband,1931,,,,United Kingdom,"Mystery, Detective fiction, Detective",Arthur Conan Doyle,1891–1892,5.3,321
tt0022651,0,backstreet,1932,,93.0,English Language,United States of America,"Drama, Black-and-white",Fannie Hurst,1931,7.0,1136
tt0022784,0,thecrash,1932,,58.0,English Language,United States of America,Drama, Larry Barretto,1932,5.9,367
tt0022796,0,cynara,1932,,75.0,,United States of America,"Romance Film, Drama", Robert Gore-Browne,1928,6.4,864
tt0022810,0,destryridesagain,1932,,94.0,English Language,,"Western, Romance Film",Max Brand,1930,5.6,135
tt0022879,0,afarewelltoarms,1932,,85.0,English Language,United States of America,"Film adaptation, Black-and-white, Pre-Code, War film, Drama, Romantic drama, Romance Film",Ernest Hemingway,1929,6.4,7024
tt0022999,0,heritageofthedesert,1932,,60.0,English Language,United States of America,"Western, Action, Romance Film",Zane Grey,1910,5.8,199
tt0023119,0,thelastofthemohicans,1932,,230.0,English Language,United States of America,"Adventure, Black-and-white, Action/Adventure, Western, War film, Action",James Fenimore Cooper,1826,5.8,182
tt0023121,0,lawandorder,1932,,75.0,English Language,United States of America,Western,W. R. Burnett,1930,6.9,351
tt0023427,0,scarface,1932,,94.0,"Italian Language, English Language",United States of America,"Crime Fiction, Gangster Film, Black-and-white, Drama, Pre-Code, Film noir",Armitage Trail,1930,7.7,31120
tt0023486,0,skyscrapersouls,1932,,99.0,English Language,United States of America,"Ensemble Film, Comedy-drama, Workplace Comedy, Black-and-white, Drama, Romance Film",Faith Baldwin,1931,7.2,1009
tt0023551,0,tarzantheapeman,1932,2540000.0,189.0,English Language,United States of America,"Action, Pre-Code, Adventure, Black-and-white",Edgar Rice Burroughs,1912–1965,6.9,8379
tt0023583,0,thethirteenthguest,1932,,69.0,English Language,United States of America,"Thriller, Comedy Thriller, Black-and-white, Mystery, Crime Thriller, Whodunit",Armitage Trail,1929,5.7,956
tt0023652,0,vanityfair,1932,,78.0,English Language,United States of America,"Romance Film, Drama, Black-and-white, Film adaptation",William Makepeace Thackeray,1847–1848,5.5,377
tt0023685,0,thewetparade,1932,,118.0,English Language,United States of America,"Pre-Code, Family Drama, Drama, Black-and-white, Addiction Drama",Upton Sinclair,1931,6.2,593
tt0023891,0,christopherstrong,1933,,78.0,English Language,United States of America,"Drama, Romance Film, Pre-Code, Black-and-white",Gilbert Frankau,1932,6.3,1753
tt0023938,0,deluge,1933,,70.0,English Language,United States of America,"Disaster, Science Fiction, Apocalyptic and post-apocalyptic fiction, Black-and-white, Natural disaster",S. Fowler Wright,1928,6.4,743
tt0024184,0,theinvisibleman,1933,,71.0,English Language,United States of America,"Thriller, Science Fiction, Horror, Black-and-white, Action/Adventure, Action",H. G. Wells,1897,7.6,41302
tt0024188,0,islandoflostsouls,1932,,71.0,English Language,United States of America,"Horror, Science Fiction, Pre-Code, Black-and-white",H. G. Wells,1896,7.4,11422
tt0024405,0,olivertwist,1933,,80.0,,United States of America,Drama,Charles Dickens,1837–1839,5.1,416
tt0024617,0,thestoryoftempledrake,1933,,70.0,English Language,United States of America,"Crime Fiction, Pre-Code, Drama, Black-and-white",William Faulkner,1931,7.1,1940
tt0024620,0,thestranger'sreturn,1933,,89.0,English Language,United States of America,"Romance Film, Drama", Philip Stong,1933,6.9,511
tt0024630,0,sunsetpass,1933,,61.0,English Language,United States of America,Western,Zane Grey,1928,6.8,45
tt0024645,0,tarzanthefearless,1933,,155.0,English Language,United States of America,Black-and-white,Edgar Rice Burroughs,1912–1965,4.8,841
tt0024663,0,thethreemusketeers,1933,,210.0,English Language,United States of America,"Action, Adventure, Black-and-white",Peter B. Kyne,1913,5.2,518
tt0024674,0,tothelastman,1933,,70.0,English Language,United States of America,"Action/Adventure, Western, Action, Black-and-white",Zane Grey,1921,6.3,688
tt0024718,0,underthetontorim,1933,,63.0,English Language,United States of America,"Western, Drama, Comedy",Zane Grey,1926,5.9,21
tt0024774,0,wildhorsemesa,1932,,65.0,English Language,United States of America,Western,Zane Grey,1928,6.5,64
tt0024819,0,theageofinnocence,1934,,81.0,English Language,United States of America,"Romance Film, Drama",Edith Wharton,1921,6.2,540
tt0024831,0,anneofgreengables,1934,793000.0,78.0,English Language,United States of America,"Family Film, Drama, Comedy, Black-and-white",Lucy Maud Montgomery,1908,7.0,1469
tt0024998,0,theconstantnymph,1933,,84.0,English Language,United Kingdom,Drama,Margaret Kennedy,1923,6.8,63
tt0025004,0,thecountofmontecristo,1934,,113.0,English Language,United States of America,"Thriller, Swashbuckler films, Adventure, Costume drama, Black-and-white, Drama", père,1844–1846,7.4,3363
tt0025073,0,theduderanger,1934,,65.0,,United States of America,"Action/Adventure, Western, Action",Zane Grey,1931,6.2,167
tt0025129,0,fogoverfrisco,1934,,68.0,English Language,United States of America,"Crime Fiction, Melodrama, Black-and-white, Mystery, Drama, Crime Thriller", George Bell Dyer,1932,6.5,1848
tt0025196,0,grandcanary,1934,,78.0,English Language,United States of America,"Romance Film, Drama, Black-and-white",A. J. Cronin,1933,5.6,122
tt0025202,0,greatexpectations,1934,,100.0,English Language,United States of America,Costume drama,Charles Dickens,1860–1861,6.2,228
tt0025323,0,janeeyre,1934,,62.0,English Language,United States of America,"Romantic drama, Period piece, Drama, Romance Film, Film adaptation",Charlotte Brontë[N 31],1847,4.4,446
tt0025370,0,thelastround-up,1934,,61.0,English Language,United States of America,Western,Zane Grey,1916,6.6,44
tt0025509,0,lesmisérables,1934,,279.0,French Language,France,"Drama, World cinema, Black-and-white",Victor Hugo,1862,8.3,2009
tt0025515,0,themoonstone,1934,,62.0,English Language,United States of America,Mystery,Wilkie Collins,1868,5.0,372
tt0025586,0,ofhumanbondage,1934,592000.0,83.0,English Language,United States of America,"Pre-Code, Romance Film, Drama, Black-and-white, Film adaptation",W. Somerset Maugham,1915,7.0,8603
tt0025588,0,theoldcuriosityshop,1934,,105.0,English Language,United Kingdom,Drama,Charles Dickens,1840–1841,6.2,115
tt0025600,0,onemoreriver,1934,,85.0,,United States of America,"Mystery, Marriage Drama, Drama, Courtroom Drama",John Galsworthy,1933,6.8,437
tt0025617,0,thepaintedveil,1934,,85.0,English Language,United States of America,"Drama, Black-and-white, War film",W. Somerset Maugham,1925,6.5,1778
tt0025706,0,theredrider,1934,,,English Language,United States of America,"Western, Action, Adventure, Black-and-white",W. C. Tuttle,1930,6.9,86
tt0025747,0,thescarletletter,1934,,73.0,,United States of America,"Drama, Film adaptation",Nathaniel Hawthorne,1850,5.4,521
tt0025748,0,thescarletpimpernel,1934,,97.0,English Language,United Kingdom,"Swashbuckler films, Adventure, Costume drama, Black-and-white, Action/Adventure, Drama, Comedy, Film adaptation, Action",Baroness Emmuska Orczy,1903–1905,7.3,4873
tt0025774,0,shelovesmenot,1934,,85.0,English Language,United States of America,"Musical, Comedy", Edward Hope,1933,5.7,231
tt0025862,0,tarzanandhismate,1934,,104.0,English Language,United States of America,"Jungle Film, Pre-Code, Adventure, Black-and-white",Edgar Rice Burroughs,1912–1965,7.2,5669
tt0025893,0,thethunderingherd,1933,,62.0,English Language,United States of America,Western,Zane Grey,1925,5.6,341
tt0025907,0,treasureisland,1934,1164000.0,103.0,English Language,United States of America,"Swashbuckler films, Adventure, Black-and-white, Action/Adventure, Drama, Family Film",Robert Louis Stevenson,1883,7.1,3234
tt0025954,0,wagonwheels,1934,,60.0,English Language,United States of America,"Action/Adventure, Western, Black-and-white, Film adaptation",Zane Grey,1929,5.6,356
tt0026029,0,the39steps,1935,,86.0,English Language,United Kingdom,"Thriller, Black-and-white, Mystery, Suspense, Crime Thriller, Spy",John Buchan,1915,7.6,62725
tt0026056,0,aliceadams,1935,770000.0,99.0,English Language,United States of America,"Drama, Romance Film, Remake, Black-and-white, Film adaptation",Booth Tarkington,1921,6.9,4642
tt0026071,0,annakarenina,1935,,93.0,English Language,United States of America,"Costume drama, Black-and-white, Drama, Film adaptation, Romantic drama, Romance Film",Leo Tolstoy,1873–1887,7.0,5882
tt0026104,0,beckysharp,1935,,84.0,"French Language, English Language",United States of America,"Melodrama, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",William Makepeace Thackeray,1847–1848,5.8,1340
tt0026129,0,bordertown,1935,,90.0,"English Language, Spanish Language",United States of America,"Crime Fiction, Black-and-white", Carroll Graham,1934,6.6,2042
tt0026164,0,thecallofthewild,1935,,79.0,English Language,United States of America,"Action/Adventure, Action, Drama, Adventure, Black-and-white",Jack London,1903,6.8,2625
tt0026174,0,captainblood,1935,,119.0,English Language,United States of America,"Swashbuckler films, Adventure, Black-and-white, Action/Adventure, Romance Film, Action",Rafael Sabatini,1922,7.7,16362
tt0026205,0,chinaseas,1935,,87.0,English Language,United States of America,"Adventure, Black-and-white, Action/Adventure, Drama, Romance Film, Action",Crosbie Garstin,1934,6.9,3067
tt0026274,0,devdas,1936,,139.0,"Hindi Language, Assamese Language",India,"Bollywood, Black-and-white",Sarat Chandra Chattopadhyay,1917,6.0,127
tt0026276,0,thedevilisawoman,1935,,76.0,,United States of America,"Romance Film, Drama, Comedy film",Pierre Louÿs,1898,6.9,4037
tt0026320,0,escapemenever,1935,,95.0,English Language,United Kingdom,Drama,Margaret Kennedy,1930,5.3,174
