,fiction_work,film_adaptations,title_book,author_book,year_book,title_film,year_film
170,"Angel(1957),Elizabeth Taylor",Angel(2007),Angel,Elizabeth Taylor,1957,Angel,2007
171,"Angel Square(1987),Brian Doyle",Angel Square(1990),Angel Square,Brian Doyle,1987,Angel Square,1990
172,"Angélique(1957–2012) (series),Anne GolonandSerge Golon","Angélique, Marquise des Anges(1964)",Angélique,Anne GolonandSerge Golon,1957–2012,"Angélique, Marquise des Anges",1964
173,"Angélique(1957–2012) (series),Anne GolonandSerge Golon",Marvelous Angelique(1965),Angélique,Anne GolonandSerge Golon,1957–2012,Marvelous Angelique,1965
174,"Angélique(1957–2012) (series),Anne GolonandSerge Golon",Angelique and the King(1966),Angélique,Anne GolonandSerge Golon,1957–2012,Angelique and the King,1966
175,"Angélique(1957–2012) (series),Anne GolonandSerge Golon",Untamable Angelique(1967),Angélique,Anne GolonandSerge Golon,1957–2012,Untamable Angelique,1967
176,"Angélique(1957–2012) (series),Anne GolonandSerge Golon",Angelique and the Sultan(1968),Angélique,Anne GolonandSerge Golon,1957–2012,Angelique and the Sultan,1968
177,"Angels & Demons(2000),Dan Brown",Angels & Demons(2009),Angels & Demons,Dan Brown,2000,Angels & Demons,2009
178,"Anglo-Saxon Attitudes(1956),Angus Wilson",Anglo-Saxon Attitudes(1992),Anglo-Saxon Attitudes,Angus Wilson,1956,Anglo-Saxon Attitudes,1992
179,"The Angry Hills(1955),Leon Uris",The Angry Hills(1959),The Angry Hills,Leon Uris,1955,The Angry Hills,1959
180,"Anime Supremacy!(ハケンアニメ!,Haken Anime!)(2014),Mizuki Tsujimura",Anime Supremacy!(2022),Anime Supremacy!,Mizuki Tsujimura,2014,Anime Supremacy!,2022
181,"Anna and the King of Siam(1944),Margaret Landon",Anna and the King of Siam(1946),Anna and the King of Siam,Margaret Landon,1944,Anna and the King of Siam,1946
182,"Anna and the King of Siam(1944),Margaret Landon",The King and I(1956),Anna and the King of Siam,Margaret Landon,1944,The King and I,1956
183,"Anna and the King of Siam(1944),Margaret Landon",The King and I(1999),Anna and the King of Siam,Margaret Landon,1944,The King and I,1999
184,"Anna and the King of Siam(1944),Margaret Landon",Anna and the King(1999),Anna and the King of Siam,Margaret Landon,1944,Anna and the King,1999
185,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(1914),Anna Karenina,Leo Tolstoy,,Anna Karenina,1914
186,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(1915),Anna Karenina,Leo Tolstoy,,Anna Karenina,1915
187,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Love(1927),Anna Karenina,Leo Tolstoy,,Love,1927
188,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(1935),Anna Karenina,Leo Tolstoy,,Anna Karenina,1935
189,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(1948),Anna Karenina,Leo Tolstoy,,Anna Karenina,1948
190,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy","The River of Love(Arabic:نهر الحب,romanized:Nahr al-Ḥub) (1960)",Anna Karenina,Leo Tolstoy,,The River of Love,1960
191,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(1967),Anna Karenina,Leo Tolstoy,,Anna Karenina,1967
192,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(1974),Anna Karenina,Leo Tolstoy,,Anna Karenina,1974
193,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(1985),Anna Karenina,Leo Tolstoy,,Anna Karenina,1985
194,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(1997),Anna Karenina,Leo Tolstoy,,Anna Karenina,1997
195,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(2005),Anna Karenina,Leo Tolstoy,,Anna Karenina,2005
196,"Anna Karenina(serialised 1873–1887, published as a book 1888),Leo Tolstoy",Anna Karenina(2012),Anna Karenina,Leo Tolstoy,,Anna Karenina,2012
197,"Anna to the Infinite Power(1979),Mildred Ames",Anna to the Infinite Power(1983),Anna to the Infinite Power,Mildred Ames,1979,Anna to the Infinite Power,1983
198,"Anne of Avonlea(1909),Lucy Maud Montgomery",same as below,Anne of Avonlea,Lucy Maud Montgomery,1909,same as below,
199,"Anne of Green Gables(1908),Lucy Maud Montgomery",Anne of Green Gables(1919),Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables,1919
200,"Anne of Green Gables(1908),Lucy Maud Montgomery",Anne of Green Gables(1934),Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables,1934
201,"Anne of Green Gables(1908),Lucy Maud Montgomery",Anne of Windy Poplars(1940),Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Windy Poplars,1940
202,"Anne of Green Gables(1908),Lucy Maud Montgomery",Anne of Green Gables(1956)[N 1],Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables,1956
203,"Anne of Green Gables(1908),Lucy Maud Montgomery",Anne of Green Gables(1985)[N 1],Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables,1985
204,"Anne of Green Gables(1908),Lucy Maud Montgomery",Anne of Avonlea(1987)[N 1],Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Avonlea,1987
205,"Anne of Green Gables(1908),Lucy Maud Montgomery",Anne of Green Gables: The Continuing Story(2000)[N 1],Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables: The Continuing Story,2000
206,"Anne of Green Gables(1908),Lucy Maud Montgomery",Anne of Green Gables: A New Beginning(2009)[N 1],Anne of Green Gables,Lucy Maud Montgomery,1908,Anne of Green Gables: A New Beginning,2009
207,"Anne of Windy Poplars(1936),Lucy Maud Montgomery",same as above,Anne of Windy Poplars,Lucy Maud Montgomery,1936,same as above,
208,"Annihilation(2014),Jeff VanderMeer",Annihilation(2018),Annihilation,Jeff VanderMeer,2014,Annihilation,2018
209,"The Anointed(1937),Clyde Brion Davis",Adventure(1945),The Anointed,Clyde Brion Davis,1937,Adventure,1945
210,"Another(アナザー,Anazā)(2009),Yukito Ayatsuji",Another(2012),Another,Yukito Ayatsuji,2009,Another,2012
211,"Anthony Adverse(1933),Hervey Allen",Anthony Adverse(1936),Anthony Adverse,Hervey Allen,1933,Anthony Adverse,1936
212,"Antikiller(French:Антикиллер) (1999),Daniil Koretsky",Antikiller(2002),Antikiller,Daniil Koretsky,1999,Antikiller,2002
213,"Antonieta(1978),Andrés Henestrosa",Antonieta(1982),Antonieta,Andrés Henestrosa,1978,Antonieta,1982
214,"Apache Rising(1957),Marvin H. Albert",Duel at Diablo(1966),Apache Rising,Marvin H. Albert,1957,Duel at Diablo,1966
215,"The Apocalypse Watch(1995),Robert Ludlum",The Apocalypse Watch(1997)[N 1],The Apocalypse Watch,Robert Ludlum,1995,The Apocalypse Watch,1997
216,"The Apple Dumpling Gang(1971),Jack Bickham",The Apple Dumpling Gang(1975),The Apple Dumpling Gang,Jack Bickham,1971,The Apple Dumpling Gang,1975
217,"The Apple Dumpling Gang(1971),Jack Bickham",The Apple Dumpling Gang Rides Again(1979),The Apple Dumpling Gang,Jack Bickham,1971,The Apple Dumpling Gang Rides Again,1979
218,"The Apple Dumpling Gang(1971),Jack Bickham",Tales from the Apple Dumpling Gang(1982)[N 1],The Apple Dumpling Gang,Jack Bickham,1971,Tales from the Apple Dumpling Gang,1982
219,"Appointment with Death(1938),Agatha Christie",Appointment with Death(1988),Appointment with Death,Agatha Christie,1938,Appointment with Death,1988
220,"Appointment with Venus(1951),Jerrard Tickell",Appointment with Venus(1951),Appointment with Venus,Jerrard Tickell,1951,Appointment with Venus,1951
221,"The Apprenticeship of Duddy Kravitz(1959),Mordecai Richler",The Apprenticeship of Duddy Kravitz(1974),The Apprenticeship of Duddy Kravitz,Mordecai Richler,1959,The Apprenticeship of Duddy Kravitz,1974
222,"The Army of Shadows(French:L'Armée des ombres) (1943),Joseph Kessel",Army of Shadows(French:L'Armée des ombres) (1969),The Army of Shadows,Joseph Kessel,1943,Army of Shadows,1969
223,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt(1913),Around the World in Eighty Days,Jules Verne,1873,Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt,1913
224,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",'Round the World in 80 Days(1914),Around the World in Eighty Days,Jules Verne,1873,'Round the World in 80 Days,1914
225,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in Eighty Days(1919),Around the World in Eighty Days,Jules Verne,1873,Around the World in Eighty Days,1919
226,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in 80 Days(1956),Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,1956
227,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",The Three Stooges Go Around the World in a Daze(1963),Around the World in Eighty Days,Jules Verne,1873,The Three Stooges Go Around the World in a Daze,1963
228,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in Eighty Days(1972; Australian),Around the World in Eighty Days,Jules Verne,1873,Around the World in Eighty Days,
229,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in Eighty Days(1972; Canadian),Around the World in Eighty Days,Jules Verne,1873,Around the World in Eighty Days,
230,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in 80 Ways(1988),Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Ways,1988
231,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in 80 Days(1988)[N 4],Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,1988
232,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in 80 Days(German:Reise um die Erde in 80 Tagen) (1998),Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,1998
233,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Tweety's High-Flying Adventure(2000)[N 4],Around the World in Eighty Days,Jules Verne,1873,Tweety's High-Flying Adventure,2000
234,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Globehunters: An Around the World in 80 Days Adventure(2002)[N 1],Around the World in Eighty Days,Jules Verne,1873,Globehunters: An Around the World in 80 Days Adventure,2002
235,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in 80 Days(2004),Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,2004
236,"Around the World in Eighty Days(French:Le tour du monde en quatre-vingts jours) (1873),Jules Verne",Around the World in 80 Days(2021),Around the World in Eighty Days,Jules Verne,1873,Around the World in 80 Days,2021
237,"Arouse and Beware(1936),MacKinlay Kantor",The Man from Dakota(1940),Arouse and Beware,MacKinlay Kantor,1936,The Man from Dakota,1940
238,"Arrowsmith(1925),Sinclair Lewis",Arrowsmith(1931),Arrowsmith,Sinclair Lewis,1925,Arrowsmith,1931
239,"Ashes and Diamonds(Polish:Popiół i diament) (1948),Jerzy Andrzejewski",Ashes and Diamonds(1958),Ashes and Diamonds,Jerzy Andrzejewski,1948,Ashes and Diamonds,1958
240,"Ask the Dust(1939),John Fante",Ask the Dust(2006),Ask the Dust,John Fante,1939,Ask the Dust,2006
241,"Asking for Trouble(2001),Elizabeth Young",The Wedding Date(2005),Asking for Trouble,Elizabeth Young,2001,The Wedding Date,2005
242,"The Asphalt Jungle(1949),W. R. Burnett",The Asphalt Jungle(1950),The Asphalt Jungle,W. R. Burnett,1949,The Asphalt Jungle,1950
243,"The Asphalt Jungle(1949),W. R. Burnett",The Badlanders(1959),The Asphalt Jungle,W. R. Burnett,1949,The Badlanders,1959
244,"The Assassination Bureau, Ltd(1963),Jack London",The Assassination Bureau(1969),"The Assassination Bureau, Ltd",Jack London,1963,The Assassination Bureau,1969
245,"The Assassination of Jesse James by the Coward Robert Ford(1983),Ron Hansen",The Assassination of Jesse James by the Coward Robert Ford(2007),The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,1983,The Assassination of Jesse James by the Coward Robert Ford,2007
246,"The Assault(Dutch:De Aanslag) (1982),Harry Mulisch",The Assault(1986),The Assault,Harry Mulisch,1982,The Assault,1986
247,"L'Assommoir(1877),Émile Zola",Gervaise(1956),L'Assommoir,Émile Zola,1877,Gervaise,1956
248,"The Astronauts(Polish:Astronauci) (1951),Stanisław Lem",First Spaceship on Venus(1960),The Astronauts,Stanisław Lem,1951,First Spaceship on Venus,1960
249,"Asylum(1996),Patrick McGrath",Asylum(2005),Asylum,Patrick McGrath,1996,Asylum,2005
250,"At Play in the Fields of the Lord(1965),Peter Matthiessen",At Play in the Fields of the Lord(1991),At Play in the Fields of the Lord,Peter Matthiessen,1965,At Play in the Fields of the Lord,1991
251,"At the Earth's Core(serialised 1914, published 1922),Edgar Rice Burroughs",At the Earth's Core(1976),At the Earth's Core,Edgar Rice Burroughs,,At the Earth's Core,1976
252,"At the Étoile du Nord(French:L'Étoile du Nord) (1854),Georges Simenon",L'Etoile du Nord(1982),At the Étoile du Nord,Georges Simenon,1854,L'Etoile du Nord,1982
253,"Atlantis(1912),Gerhart Hauptmann",Atlantis(1913),Atlantis,Gerhart Hauptmann,1912,Atlantis,1913
254,"Atomised(French:Les Particules élémentaires) (1998),Michel Houellebecq",The Elementary Particles(2006),Atomised,Michel Houellebecq,1998,The Elementary Particles,2006
255,"Atomised(French:Les Particules élémentaires) (1998),Michel Houellebecq",The Elementary Particles(2021)[N 1],Atomised,Michel Houellebecq,1998,The Elementary Particles,2021
256,"Atonement(2001),Ian McEwan",Atonement(2007),Atonement,Ian McEwan,2001,Atonement,2007
257,"Audrey Rose(1975),Frank De Felitta",Audrey Rose(1977),Audrey Rose,Frank De Felitta,1975,Audrey Rose,1977
258,"The Auction Block(1914),Rex Beach",The Auction Block(1917),The Auction Block,Rex Beach,1914,The Auction Block,1917
259,"The Auction Block(1914),Rex Beach",The Auction Block(1926),The Auction Block,Rex Beach,1914,The Auction Block,1926
260,"Audition(オーディション,Ōdishon)(1997),Ryu Murakami",Audition(1999),Audition,Ryu Murakami,1997,Audition,1999
261,"Auntie Mame(1955),Patrick Dennis",Auntie Mame(1958),Auntie Mame,Patrick Dennis,1955,Auntie Mame,1958
262,"Avalon High(2005),Meg Cabot",Avalon High(2010)[N 1],Avalon High,Meg Cabot,2005,Avalon High,2010
263,"The Aviator(1981),Ernest K. Gann",The Aviator(1985),The Aviator,Ernest K. Gann,1981,The Aviator,1985
264,"Away All Boats(1953), Kenneth M. Dodson",Away All Boats(1956),Away All Boats, Kenneth M. Dodson,1953,Away All Boats,1956
265,"An Awfully Big Adventure(1989),Beryl Bainbridge",An Awfully Big Adventure(1995),An Awfully Big Adventure,Beryl Bainbridge,1989,An Awfully Big Adventure,1995
266,"The Ax(1997),Donald E. Westlake",The Axe(French:Le couperet) (2005),The Ax,Donald E. Westlake,1997,The Axe,2005
268,"Baby Love(1968), Tina Chad Christian",Baby Love(1968),Baby Love, Tina Chad Christian,1968,Baby Love,1968
269,"Babylon Babies(1999),Maurice Georges Dantec",Babylon A.D.(2008),Babylon Babies,Maurice Georges Dantec,1999,Babylon A.D.,2008
270,"Back Street(1931),Fannie Hurst",Back Street(1932),Back Street,Fannie Hurst,1931,Back Street,1932
271,"Back Street(1931),Fannie Hurst",Back Street(1941),Back Street,Fannie Hurst,1931,Back Street,1941
272,"Back Street(1931),Fannie Hurst",Back Street(1961),Back Street,Fannie Hurst,1931,Back Street,1961
273,"Back When We Were Grownups(2001),Anne Tyler",Back When We Were Grownups(2004),Back When We Were Grownups,Anne Tyler,2001,Back When We Were Grownups,2004
274,"Background to Danger(1937) (a. k. a.Uncommon Danger),Eric Ambler",Background to Danger(1943),Background to Danger,Eric Ambler,1937,Background to Danger,1943
275,"Bad Girl(1928),Viña Delmar",Bad Girl(1931),Bad Girl,Viña Delmar,1928,Bad Girl,1931
276,"The Bad Seed(1954),William March",The Bad Seed(1956),The Bad Seed,William March,1954,The Bad Seed,1956
277,"The Bad Seed(1954),William March",The Bad Seed(1985)[N 1],The Bad Seed,William March,1954,The Bad Seed,1985
278,"The Bad Seed(1954),William March",The Bad Seed(2018)[N 1],The Bad Seed,William March,1954,The Bad Seed,2018
279,"Baise-moi(1993),Virginie Despentes",Baise-moi(2000),Baise-moi,Virginie Despentes,1993,Baise-moi,2000
280,"The Bait(1968),Dorothy Uhnak",The Bait(1973)[N 1],The Bait,Dorothy Uhnak,1968,The Bait,1973
281,"The Ballad of Cat Ballou(1956), Roy Chanslor",Cat Ballou(1965),The Ballad of Cat Ballou, Roy Chanslor,1956,Cat Ballou,1965
282,"The Ballad of the Flim-Flam Man(1965),Guy Owen",The Flim-Flam Man(1967),The Ballad of the Flim-Flam Man,Guy Owen,1965,The Flim-Flam Man,1967
283,"The Ballad of the Flim-Flam Man(1965),Guy Owen",The Flim-Flam Man(1969)[N 1],The Ballad of the Flim-Flam Man,Guy Owen,1965,The Flim-Flam Man,1969
284,"The Ballad of the Running Man(1961), Shelley Smith",The Running Man(1963),The Ballad of the Running Man, Shelley Smith,1961,The Running Man,1963
285,"Balzac and the Little Chinese Seamstress(French:Balzac et la petite tailleuse chinoise) (2000),Dai Sijie",Balzac and the Little Chinese Seamstress(2002),Balzac and the Little Chinese Seamstress,Dai Sijie,2000,Balzac and the Little Chinese Seamstress,2002
286,"Band of Angels(1955),Robert Penn Warren",Band of Angels(1957),Band of Angels,Robert Penn Warren,1955,Band of Angels,1957
287,"The Bandits of Bombay(Bengali:বোম্বাইয়ের বোম্বেটে,Bombaiyer Bombete) (1976),Satyajit Ray",Bombaiyer Bombete(2003),The Bandits of Bombay,Satyajit Ray,1976,Bombaiyer Bombete,2003
288,"Bank Shot(1972),Donald E. Westlake",Bank Shot(1974),Bank Shot,Donald E. Westlake,1972,Bank Shot,1974
289,"Banner in the Sky(1900),James Ramsey Ullman",Third Man on the Mountain(1959),Banner in the Sky,James Ramsey Ullman,1900,Third Man on the Mountain,1959
290,"The Barefoot Mailman(1943),Theodore Pratt",The Barefoot Mailman(1951),The Barefoot Mailman,Theodore Pratt,1943,The Barefoot Mailman,1951
291,"Basil of Baker Street(1958),Eve Titus",The Great Mouse Detective(1986),Basil of Baker Street,Eve Titus,1958,The Great Mouse Detective,1986
292,"Bastard Out of Carolina(1992),Dorothy Allison",Bastard Out of Carolina(1996),Bastard Out of Carolina,Dorothy Allison,1992,Bastard Out of Carolina,1996
293,"Battle Cry(1953),Leon Uris",Battle Cry(1955),Battle Cry,Leon Uris,1953,Battle Cry,1955
294,"The Battle of the Villa Fiorita(1963),Rumer Godden",The Battle of the Villa Fiorita(1965),The Battle of the Villa Fiorita,Rumer Godden,1963,The Battle of the Villa Fiorita,1965
295,"Battle Royale(バトル・ロワイアル,Batoru Rowaiaru)(1999),Koushun Takami",Battle Royale(2000),Battle Royale,Koushun Takami,1999,Battle Royale,2000
296,"Battle Royale(バトル・ロワイアル,Batoru Rowaiaru)(1999),Koushun Takami","Battle Royale II: Requiem(バトル・ロワイアルII 鎮魂歌,Batoru Rowaiaru Tsū: ""Rekuiemu"")(2003)",Battle Royale,Koushun Takami,1999,Battle Royale II: Requiem,2003
297,"Battlefield Earth(1982),L. Ron Hubbard",Battlefield Earth(2000),Battlefield Earth,L. Ron Hubbard,1982,Battlefield Earth,2000
298,"Be Cool(1999),Elmore Leonard",Be Cool(2005),Be Cool,Elmore Leonard,1999,Be Cool,2005
299,"Be Ready with Bells and Drums(1961),Elizabeth Kata",A Patch of Blue(1965),Be Ready with Bells and Drums,Elizabeth Kata,1961,A Patch of Blue,1965
300,"Be Still, My Love(1947), June Truesdell",The Accused(1949),"Be Still, My Love", June Truesdell,1947,The Accused,1949
301,"The Beach(1996),Alex Garland",The Beach(2000),The Beach,Alex Garland,1996,The Beach,2000
302,"Beaches(1985),Iris Rainer Dart",Beaches(1988),Beaches,Iris Rainer Dart,1985,Beaches,1988
303,"The Beardless Warriors(1960),Richard Matheson",The Young Warriors(1967),The Beardless Warriors,Richard Matheson,1960,The Young Warriors,1967
304,"Beast(1991),Peter Benchley",The Beast(1996)[N 1],Beast,Peter Benchley,1991,The Beast,1996
305,"The Beast in Man(French:La Bête humaine) (1890),Émile Zola",Die Bestie im Menschen(1921),The Beast in Man,Émile Zola,1890,Die Bestie im Menschen,1921
306,"The Beast in Man(French:La Bête humaine) (1890),Émile Zola",La Bête Humaine(1938),The Beast in Man,Émile Zola,1890,La Bête Humaine,1938
307,"The Beast in Man(French:La Bête humaine) (1890),Émile Zola",Human Desire(1954),The Beast in Man,Émile Zola,1890,Human Desire,1954
308,"The Beast in Man(French:La Bête humaine) (1890),Émile Zola",La Bestia humana(1954),The Beast in Man,Émile Zola,1890,La Bestia humana,1954
309,"The Beast in Man(French:La Bête humaine) (1890),Émile Zola",Cruel Train(1995)[N 1],The Beast in Man,Émile Zola,1890,Cruel Train,1995
310,"The Beast in the Heart(Italian:La bestia nel cuore) (2003),Cristina Comencini",Don't Tell(Italian:La bestia nel cuore) (2005),The Beast in the Heart,Cristina Comencini,2003,Don't Tell,2005
311,"The Beast Master(1959),Andre Norton",The Beastmaster(1982),The Beast Master,Andre Norton,1959,The Beastmaster,1982
312,"The Beast Master(1959),Andre Norton",Beastmaster 2: Through the Portal of Time(1991),The Beast Master,Andre Norton,1959,Beastmaster 2: Through the Portal of Time,1991
313,"The Beast Master(1959),Andre Norton",Beastmaster III: The Eye of Braxus(1996) (TV),The Beast Master,Andre Norton,1959,Beastmaster III: The Eye of Braxus,1996
314,"The Beast Must Die(1938),Cecil Day-Lewis[N 6]",The Beast Must Die(Spanish:La bestia debe morir) (1952),The Beast Must Die,Cecil Day-Lewis[N 6],1938,The Beast Must Die,1952
315,"The Beast Must Die(1938),Cecil Day-Lewis[N 6]",This Man Must Die(French:Que la bête meure) (1969),The Beast Must Die,Cecil Day-Lewis[N 6],1938,This Man Must Die,1969
316,"The Beast Within(1981),Edward Levy",The Beast Within(1982),The Beast Within,Edward Levy,1981,The Beast Within,1982
317,"Beat the Devil(1951),Claud Cockburn[N 7]",Beat the Devil(1953),Beat the Devil,Claud Cockburn[N 7],1951,Beat the Devil,1953
318,"Beau Brocade(1907),Baroness Emmuska Orczy",Beau Brocade(1916),Beau Brocade,Baroness Emmuska Orczy,1907,Beau Brocade,1916
319,"Beau Geste(1924),P. C. Wren",Beau Geste(1926),Beau Geste,P. C. Wren,1924,Beau Geste,1926
320,"Beau Geste(1924),P. C. Wren",Beau Sabreur(1928),Beau Geste,P. C. Wren,1924,Beau Sabreur,1928
321,"Beau Geste(1924),P. C. Wren",Beau Ideal(1931),Beau Geste,P. C. Wren,1924,Beau Ideal,1931
322,"Beau Geste(1924),P. C. Wren",Beau Geste(1939),Beau Geste,P. C. Wren,1924,Beau Geste,1939
323,"Beau Geste(1924),P. C. Wren",Beau Geste(1966),Beau Geste,P. C. Wren,1924,Beau Geste,1966
324,"Beau Geste(1924),P. C. Wren",The Last Remake of Beau Geste(1977),Beau Geste,P. C. Wren,1924,The Last Remake of Beau Geste,1977
325,"Beau Ideal(1927),P. C. Wren",same as above,Beau Ideal,P. C. Wren,1927,same as above,
326,"Beau Ideal(1927),P. C. Wren","Beau Sabreur(1926),P. C. Wren",Beau Ideal,P. C. Wren,1927,Beau Sabreur,1926
327,"Beautiful Creatures(2009), Kami Garcia and Margaret Stohl",Beautiful Creatures(2013),Beautiful Creatures, Kami Garcia and Margaret Stohl,2009,Beautiful Creatures,2013
328,"Bedelia(1945),Vera Caspary",Bedelia(1946),Bedelia,Vera Caspary,1945,Bedelia,1946
329,"Bee Season(2000),Myla Goldberg",Bee Season(2005),Bee Season,Myla Goldberg,2000,Bee Season,2005
330,"Beer and Blood: The Story of a Couple o' Wrong Guys(1930),John BrightandKubec Glasmon",The Public Enemy(1931),Beer and Blood: The Story of a Couple o' Wrong Guys,John BrightandKubec Glasmon,1930,The Public Enemy,1931
331,"Before the Fact(1932),Anthony Berkeley Cox[N 8]",Suspicion(1941),Before the Fact,Anthony Berkeley Cox[N 8],1932,Suspicion,1941
332,"The Beginning and the End(Arabic:بداية ونهاية,romanized:Bidaya wa Nihaya) (1960),Naguib Mahfouz",Bidaya wa Nihaya(1960),The Beginning and the End,Naguib Mahfouz,1960,Bidaya wa Nihaya,1960
333,"Behind That Curtain(1928),Earl Derr Biggers",Behind That Curtain(1929),Behind That Curtain,Earl Derr Biggers,1928,Behind That Curtain,1929
334,"Being There(1971),Jerzy Kosinski",Being There(1979),Being There,Jerzy Kosinski,1971,Being There,1979
335,"Bel-Ami(1885),Guy de Maupassant",Bel Ami(1939),Bel-Ami,Guy de Maupassant,1885,Bel Ami,1939
336,"Bel-Ami(1885),Guy de Maupassant",The Private Affairs of Bel Ami(1947),Bel-Ami,Guy de Maupassant,1885,The Private Affairs of Bel Ami,1947
337,"Bel-Ami(1885),Guy de Maupassant",Bel Ami(2005)[N 1],Bel-Ami,Guy de Maupassant,1885,Bel Ami,2005
338,"Bel-Ami(1885),Guy de Maupassant",Bel Ami(2012),Bel-Ami,Guy de Maupassant,1885,Bel Ami,2012
339,"Belle de Jour(1928),Joseph Kessel",Belle de Jour(1967),Belle de Jour,Joseph Kessel,1928,Belle de Jour,1967
340,"Belli Moda(Kannada:ಬೆಳ್ಳಿಮೋಡ) (1961),Anasuya Shankar[N 9]",Belli Moda(1967),Belli Moda,Anasuya Shankar[N 9],1961,Belli Moda,1967
341,"Belli Moda(Kannada:ಬೆಳ್ಳಿಮೋಡ) (1961),Anasuya Shankar[N 9]",Swapnabhoomi(Malayalam:സ്വപ്നഭൂമി) (1967),Belli Moda,Anasuya Shankar[N 9],1961,Swapnabhoomi,1967
342,"Bellman and True(1975), Desmond Lowden",Bellman and True(1987),Bellman and True, Desmond Lowden,1975,Bellman and True,1987
343,"Beloved(1987),Toni Morrison",Beloved(1998),Beloved,Toni Morrison,1987,Beloved,1998
344,"Belphégor(1927),Arthur Bernède",Belphégor - Le fantôme du Louvre(2001),Belphégor,Arthur Bernède,1927,Belphégor - Le fantôme du Louvre,2001
345,"Ben-Hur: A Tale of the Christ(1880),Lew Wallace",Ben-Hur(1925),Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben-Hur,1925
346,"Ben-Hur: A Tale of the Christ(1880),Lew Wallace",Ben-Hur(1959),Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben-Hur,1959
347,"Ben-Hur: A Tale of the Christ(1880),Lew Wallace",Ben Hur(2003)[N 4],Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben Hur,2003
348,"Ben-Hur: A Tale of the Christ(1880),Lew Wallace",Ben-Hur(2016),Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Ben-Hur,2016
349,"Benjamin Blake(1941),Edison Marshall",Son of Fury: The Story of Benjamin Blake(1942),Benjamin Blake,Edison Marshall,1941,Son of Fury: The Story of Benjamin Blake,1942
350,"Benjamin Blake(1941),Edison Marshall",Treasure of the Golden Condor(1953),Benjamin Blake,Edison Marshall,1941,Treasure of the Golden Condor,1953
351,"Beowulf(c. 700–1000 AD),unknown",Beowulf(1999),Beowulf,unknown,,Beowulf,1999
