,title_book,author_book,year_book,title_film,year_film
401,Fifty Shades,E. L. James,2011,Fifty Shades of Grey,2015
402,Fifty Shades,E. L. James,2011,Fifty Shades Darker,2017
403,Fifty Shades,E. L. James,2011,Fifty Shades Freed,2018
404,Fight Club,Chuck Palahniuk,1996,Fight Club,1999
405,Fighting Caravans,Zane Grey,1929,Fighting Caravans,1931
406,Fighting Caravans,Zane Grey,1929,Wagon Wheels,1934
407,The Final Programme,Michael Moorcock,1968,The Final Programme,1973
408,Fire on the Mountain,Edward Abbey,1962,Fire on the Mountain,1981
409,Firefox,Craig Thomas,1977,Firefox,1982
410,Fires on the Plain,Shōhei Ōoka,1959,Fires on the Plain,1959
411,Fires on the Plain,Shōhei Ōoka,1959,Fires on the Plain,2014
412,Firestarter,Stephen King,1980,Firestarter,1984
413,Firestarter,Stephen King,1980,Firestarter: Rekindled,2002
414,Firestarter,Stephen King,1980,Firestarter,2022
415,The Firm,John Grisham,1991,The Firm,1993
416,First Blood,David Morrell,1972,First Blood,1982
417,First Blood,David Morrell,1972,Rambo: First Blood Part II,1985
418,First Blood,David Morrell,1972,Rambo III,1988
419,First Blood,David Morrell,1972,Rambo,2008
420,First Blood,David Morrell,1972,Rambo: Last Blood,2019
421,"First Love, Last Rites",Ian McEwan,1975,Schmetterlinge,1988
422,"First Love, Last Rites",Ian McEwan,1975,"First Love, Last Rites",1997
423,"First Love, Last Rites",Ian McEwan,1975,Butterflies,2005
424,The First Men in the Moon,H. G. Wells,1901,The First Men in the Moon,1919
425,The First Men in the Moon,H. G. Wells,1901,First Men in the Moon,1964
426,The First Men in the Moon,H. G. Wells,1901,The First Men in the Moon,2010
427,The First Wives Club,Olivia Goldsmith,1992,The First Wives Club,1996
428,The Five Fragments, George Bell Dyer,1932,Fog Over Frisco,1934
429,The Five Fragments, George Bell Dyer,1932,Spy Ship,1942
430,The Five People You Meet in Heaven,Mitch Albom,2003,The Five People You Meet in Heaven,2004
431,Five Weeks in a Balloon,Jules Verne,1863,Flight of the Lost Balloon,1961
432,Five Weeks in a Balloon,Jules Verne,1863,Five Weeks in a Balloon,1962
433,Five Weeks in a Balloon,Jules Verne,1863,Viaje Fantástico en Globo,1975
434,Five Weeks in a Balloon,Jules Verne,1863,Five Weeks in a Balloon,1977
435,The Fixer,Bernard Malamud,1966,The Fixer,1968
436,Flaming Youth,Samuel Hopkins Adams,1921,Flaming Youth,1923
437,Flashpoint, George LaFountaine,1976,Flashpoint,1984
438,Fletch,Gregory Mcdonald,1974,Fletch,1985
439,Fletch,Gregory Mcdonald,1974,Fletch Lives,1989
440,Fletch,Gregory Mcdonald,1974,"Confess, Fletch",2022
441,Flight of the Intruder,Stephen Coonts,1986,Flight of the Intruder,1991
442,The Flight of the Phoenix,Elleston Trevor,1964,The Flight of the Phoenix,1965
443,The Flight of the Phoenix,Elleston Trevor,1964,Flight of the Phoenix,2004
444,Flowers in the Attic,V. C. Andrews,1979,Flowers in the Attic,1987
445,Flowers in the Attic,V. C. Andrews,1979,Flowers in the Attic,2014
446,Flowing Gold,Rex Beach,1922,Flowing Gold,1940
447,Focus,Arthur Miller,1945,Focus,2002
448,The Food of the Gods and How It Came to Earth,H. G. Wells,1904,Village of the Giants,1965
449,The Food of the Gods and How It Came to Earth,H. G. Wells,1904,The Food of the Gods,1976
450,The Food of the Gods and How It Came to Earth,H. G. Wells,1904,Food of the Gods II,1989
451,The Fool of the Family,Margaret Kennedy,1930,Escape Me Never,1935
452,The Fool of the Family,Margaret Kennedy,1930,Escape Me Never,1947
453,Fools' Gold,Dolores Hitchens,1958,Bande à part,1964
454,For Love of the Game,Michael Shaara,1991,For Love of the Game,1999
455,For Whom the Bell Tolls,Ernest Hemingway,1940,For Whom the Bell Tolls,1943
456,The Forbidden Territory,Dennis Wheatley,1933,Forbidden Territory,1934
457,Force 10 From Navarone,Alistair MacLean,1968,Force 10 from Navarone,1978
458,The Forest,José Maria Ferreira de Castro(as Ferreira de Castro),1900,The Forest,2002
459,Forever Amber,Kathleen Winsor,1944,Forever Amber,1947
460,Forlorn River,Zane Grey,1927,Forlorn River,1937
461,The Formula,Steve Shagan,1979,The Formula,1980
462,Forrest Gump,Winston Groom,1986,Forrest Gump,1994
463,The Fountainhead,Ayn Rand,1943,The Fountainhead,1949
464,The Four Feathers,A. E. W. Mason,1902,Four Feathers,1915
465,The Four Feathers,A. E. W. Mason,1902,The Four Feathers,1921
466,The Four Feathers,A. E. W. Mason,1902,The Four Feathers,1929
467,The Four Feathers,A. E. W. Mason,1902,The Four Feathers,1939
468,The Four Feathers,A. E. W. Mason,1902,Storm Over the Nile,1955
469,The Four Feathers,A. E. W. Mason,1902,The Four Feathers,1978
470,The Four Feathers,A. E. W. Mason,1902,The Four Feathers,2002
471,The Fourth Man,Gerard Reve,1981,The Fourth Man,1983
472,The Fourth Protocol,Frederick Forsyth,1984,The Fourth Protocol,1987
473,The Fox and the Hound,Daniel P. Mannix,1967,The Fox and the Hound,1981
474,The Fox and the Hound,Daniel P. Mannix,1967,The Fox and the Hound 2,2006
475,F.P.1 Doesn't Answer[N 15],Curt Siodmak,1933,F.P.1,1932
476,F.P.1 Doesn't Answer[N 15],Curt Siodmak,1933,F.P.1 Doesn't Respond,1933
477,F.P.1 Doesn't Answer[N 15],Curt Siodmak,1933,F.P.1 ne repond pas,1933
478,Frank Merriwell,Gilbert Patten,1896-1940,The Adventures of Frank Merriwell,1936
479,Frankenstein,Mary Shelley,1818,Life Without Soul,1915
480,Frankenstein,Mary Shelley,1818,Frankenstein,1931
481,Frankenstein,Mary Shelley,1818,Bride of Frankenstein,1935
482,Frankenstein,Mary Shelley,1818,Son of Frankenstein,1939
483,Frankenstein,Mary Shelley,1818,The Ghost of Frankenstein,1942
484,Frankenstein,Mary Shelley,1818,Frankenstein Meets the Wolf Man,1943
485,Frankenstein,Mary Shelley,1818,House of Frankenstein,1944
486,Frankenstein,Mary Shelley,1818,House of Dracula,1945
487,Frankenstein,Mary Shelley,1818,Abbott and Costello Meet Frankenstein,1948
488,Frankenstein,Mary Shelley,1818,The Curse of Frankenstein,1957
489,Frankenstein,Mary Shelley,1818,The Revenge of Frankenstein,1958
490,Frankenstein,Mary Shelley,1818,Frankenstein 1970,1958
491,Frankenstein,Mary Shelley,1818,The Evil of Frankenstein,1964
492,Frankenstein,Mary Shelley,1818,Frankenstein vs. Baragon,1965
493,Frankenstein,Mary Shelley,1818,The War of the Gargantuas,1966
494,Frankenstein,Mary Shelley,1818,Frankenstein Created Woman,1967
495,Frankenstein,Mary Shelley,1818,Frankenstein Must Be Destroyed,1969
496,Frankenstein,Mary Shelley,1818,The Horror of Frankenstein,1970
497,Frankenstein,Mary Shelley,1818,Dracula vs. Frankenstein,1971
498,Frankenstein,Mary Shelley,1818,Lady Frankenstein,1971
499,Frankenstein,Mary Shelley,1818,Drácula contra Frankenstein,1972
500,Frankenstein,Mary Shelley,1818,Frankenstein '80,1972
501,Frankenstein,Mary Shelley,1818,Frankenstein,1973
502,Frankenstein,Mary Shelley,1818,Blackenstein,1973
503,Frankenstein,Mary Shelley,1818,Frankenstein: The True Story,1973
504,Frankenstein,Mary Shelley,1818,Flesh for Frankenstein,1973
505,Frankenstein,Mary Shelley,1818,Frankenstein and the Monster from Hell,1974
506,Frankenstein,Mary Shelley,1818,Young Frankenstein,1974
507,Frankenstein,Mary Shelley,1818,Terror of Frankenstein,1977
508,Frankenstein,Mary Shelley,1818,Kyoufu Densetsu Kaiki! Frankenstein,1981
509,Frankenstein,Mary Shelley,1818,Frankenstein Island,1981
510,Frankenstein,Mary Shelley,1818,Frankenstein,1984
511,Frankenstein,Mary Shelley,1818,Frankenstein 90,1984
512,Frankenstein,Mary Shelley,1818,The Bride,1985
513,Frankenstein,Mary Shelley,1818,Frankenstein Unbound,1990
514,Frankenstein,Mary Shelley,1818,Frank Enstein,1991
515,Frankenstein,Mary Shelley,1818,Frankenstein,1992
516,Frankenstein,Mary Shelley,1818,Mary Shelley's Frankenstein,1994
517,Frankenstein,Mary Shelley,1818,Van Helsing,2004
518,Frankenstein,Mary Shelley,1818,Frankenstein,2004
519,Frankenstein,Mary Shelley,1818,Frankenstein,2007
520,Frankenstein,Mary Shelley,1818,Frankenstein: Day of the Beast,2011
521,Frankenstein,Mary Shelley,1818,"I, Frankenstein",2014
522,Frankenstein,Mary Shelley,1818,FRANKƐN5TƐ1N,2015
523,Frankenstein,Mary Shelley,1818,Victor Frankenstein,2015
524,Freaky Friday,Mary Rodgers,1972,Freaky Friday,1976
525,Freaky Friday,Mary Rodgers,1972,Freaky Friday,1995
526,Freaky Friday,Mary Rodgers,1972,Freaky Friday,2003
527,Freaky Friday,Mary Rodgers,1972,Freaky Friday,2018
528,Freaky Friday,Mary Rodgers,1972,Freakier Friday,2025
529,Freedomland,Richard Price,1998,Freedomland,2006
530,The French Lieutenant's Woman,John Fowles,1969,The French Lieutenant's Woman,1981
531,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1987,Fried Green Tomatoes,1991
532,Friend, Diana Henstell,1985,Deadly Friend,1986
533,The Friendly Persuasion,Jessamyn West,1945,Friendly Persuasion,1956
534,The Friendly Persuasion,Jessamyn West,1945,Friendly Persuasion,1975
535,From Here to Eternity,James Jones,1951,From Here to Eternity,1953
536,"From Russia, with Love",Ian Fleming,1957,From Russia with Love,1963
537,From the Earth to the Moon,Jules Verne,1865,From the Earth to the Moon,1958
538,From the Earth to the Moon,Jules Verne,1865,The Fabulous Baron Munchausen,1961
539,From the Earth to the Moon,Jules Verne,1865,Jules Verne's Rocket to the Moon,1967
540,From the Earth to the Moon,Jules Verne,1865,From the Earth to the Moon,1976
541,From the Terrace,John O'Hara,1958,From the Terrace,1960
542,Funeral in Berlin,Len Deighton,1964,Funeral in Berlin,1966
543,Funny Farm,Jay Cronley,1985,Funny Farm,1988
544,The Furies,Niven Busch,1948,The Furies,1950
545,The Fury,John Farris,1976,The Fury,1978
546,The Fuzzy Pink Nightgown, Sylvia Tate,1956,The Fuzzy Pink Nightgown,1957
548,The Game of X,Robert Sheckley,1965,Condorman,1981
549,The Garden of Allah,Robert Smythe Hichens,1904,The Garden of Allah,1916
550,The Garden of Allah,Robert Smythe Hichens,1904,The Garden of Allah,1927
551,The Garden of Allah,Robert Smythe Hichens,1904,The Garden of Allah,1936
552,The Garden of God,Henry De Vere Stacpoole,1923,Return to the Blue Lagoon,1991
553,The Garden of Sinners,Kinoko Nasu,1998–1999,The Garden of Sinners: Overlooking View,2007
554,The Garden of Sinners,Kinoko Nasu,1998–1999,The Garden of Sinners: A Study in Murder – Part 1,2007
555,The Garden of Sinners,Kinoko Nasu,1998–1999,The Garden of Sinners: Remaining Sense of Pain,2008
556,The Garden of Sinners,Kinoko Nasu,1998–1999,The Garden of Sinners: The Hollow Shrine,2008
557,The Garden of Sinners,Kinoko Nasu,1998–1999,The Garden of Sinners: Paradox Spiral,2008
558,The Garden of Sinners,Kinoko Nasu,1998–1999,The Garden of Sinners: Oblivion Recording,2008
559,The Garden of Sinners,Kinoko Nasu,1998–1999,The Garden of Sinners: A Study in Murder – Part 2,2009
560,The Garden of Sinners,Kinoko Nasu,1998–1999,The Garden of Sinners: Future Gospel,2013
561,Gardens of Stone, Nicholas Proffitt,1983,Gardens of Stone,1987
562,Gasoline,Elena Stancanelli,1998,Gasoline,2001
563,Gate of Flesh,Taijiro Tamura,1947,Gate of Flesh,1948
564,Gate of Flesh,Taijiro Tamura,1947,Gate of Flesh,1964
565,Gate of Flesh,Taijiro Tamura,1947,The Call of Flesh,1964
566,Gate of Flesh,Taijiro Tamura,1947,Gate of Flesh,1977
567,Gate of Flesh,Taijiro Tamura,1947,Gate of Flesh,1988
568,The Gay Sisters,Stephen Longstreet,1942,The Gay Sisters,1942
569,Gentle Annie,MacKinlay Kantor,1942,Gentle Annie,1944
570,Gentlemen Prefer Blondes,Anita Loos,1925,Gentlemen Prefer Blondes,1928
571,Gentlemen Prefer Blondes,Anita Loos,1925,Gentlemen Prefer Blondes,1953
572,Geordie,David Walker,1950,Geordie,1955
573,Georgy Girl,Margaret Forster,1965,Georgy Girl,1966
574,Get Shorty,Elmore Leonard,1990,Get Shorty,1995
575,The Getaway,Jim Thompson,1959,The Getaway,1972
576,The Getaway,Jim Thompson,1959,The Getaway,1994
577,The Ghost,Wenceslao Fernández Flórez,1924,Apology of Destiny,1945
578,The Ghost,Robert Harris,2007,The Ghost Writer,2010
579,The Ghost and Mrs. Muir,Josephine Leslie(as R. A. Dick),1945,The Ghost and Mrs. Muir,1947
580,Giant,Edna Ferber,1952,Giant,1956
581,"Gidget, the Little Girl with Big Ideas",Frederick Kohner,1957,Gidget,1959
582,The Girl from Petrovka, George Feifer,1972,The Girl from Petrovka,1974
583,The Girl in the Spider's Web,David Lagercrantz,2015,The Girl in the Spider's Web,2018
584,The Girl Who Leapt Through Time,Yasutaka Tsutsui,1966–1967,The Girl Who Leapt Through Time,1983
585,The Girl Who Leapt Through Time,Yasutaka Tsutsui,1966–1967,The Girl Who Leapt Through Time,1997
586,The Girl Who Leapt Through Time,Yasutaka Tsutsui,1966–1967,Morning Musume: Shinshun! Love Stories,2002
587,The Girl Who Leapt Through Time,Yasutaka Tsutsui,1966–1967,The Girl Who Leapt Through Time,2006
588,The Girl Who Leapt Through Time,Yasutaka Tsutsui,1966–1967,Time Traveller: The Girl Who Leapt Through Time,2010
589,Girl with a Pearl Earring,Tracy Chevalier,1999,Girl with a Pearl Earring,2003
590,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Suburban Girl,2008
591,The Glass Inferno,Thomas N. ScortiaandFrank M. Robinson,1974,The Towering Inferno,1974
592,The Glass Rabbit, Toshiko Takagi,1977,Tokyo Air Raid: The Glass Rabbit,1979
593,The Glass Rabbit, Toshiko Takagi,1977,Glass no Usagi,2005
594,Glitz,Elmore Leonard,1985,Glitz,1988
595,Glory for Me,MacKinlay Kantor,1945,The Best Years of Our Lives,1946
596,Gnomes,Wil HuygenandRien Poortvliet,1977,Gnomes,1980
597,The Gnomobile,Upton Sinclair,1937,The Gnome-Mobile,1967
598,The Goalkeeper's Fear of the Penalty,Peter Handke,1970,The Goalkeeper's Fear of the Penalty,1972
599,The Go-Between,L. P. Hartley,1953,The Go-Between,1971
600,The Go-Between,L. P. Hartley,1953,The Go-Between,2015
601,God and My Country,MacKinlay Kantor,1954,"Follow Me, Boys!",1966
602,God's Mischief,M. Mukundan,1989,Daivathinte Vikrithikal,1992
603,God's Puzzle, Shinji Kimoto,2002,God's Puzzle,2008
604,The Godfather,Mario Puzo,1969,The Godfather,1972
605,The Godfather,Mario Puzo,1969,The Godfather Part II,1974
606,The Godfather,Mario Puzo,1969,The Godfather Part III,1990
607,Gods and Generals,Jeffrey Shaara,1996,Gods and Generals,2003
608,The Gods Hate Kansas, Joseph Millard,1941,They Came from Beyond Space,1967
609,God's Little Acre,Erskine Caldwell,1933,God's Little Acre,1958
610,Gold Coast,Elmore Leonard,1980,Gold Coast,1997
611,Gold Mine,Wilbur Smith,1970,Gold,1974
612,The Golden Bowl,Henry James,1904,The Golden Bowl,2000
613,The Golden Dog,Jukô Nishimura,1977,Dog of Fortune,1979
614,The Golden Evenings of Summer, Will Stanton,1971,Charley and the Angel,1973
615,"The Golden Key, or The Adventures of Buratino",Aleksey Nikolayevich Tolstoy,1936,The Adventures of Buratino,1959
616,"The Golden Key, or The Adventures of Buratino",Aleksey Nikolayevich Tolstoy,1936,The Adventures of Buratino,1975
617,Golden Slumber,Kōtarō Isaka,2007,Golden Slumber,2018
618,Goldfinger,Ian Fleming,1959,Goldfinger,1964
619,Gone with the Wind,Margaret Mitchell,1936,Gone with the Wind,1939
620,The Good Earth,Pearl S. Buck,1931,The Good Earth,1937
621,The Good German,Joseph Kanon,2001,The Good German,2006
622,"Good Morning, Midnight",Lily Brooks-Dalton,2016,The Midnight Sky,2020
623,A Good Year,Peter Mayle,2004,A Good Year,2006
624,"Goodbye Piccadilly, Farewell Leicester Square",Arthur La Bern,1966,Frenzy,1972
625,"Goodbye, Mr. Chips",James Hilton,1934,"Goodbye, Mr. Chips",1939
626,"Goodbye, Mr. Chips",James Hilton,1934,"Goodbye, Mr. Chips",1969
627,Gorky Park,Martin Cruz Smith,1981,Gorky Park,1983
628,Grand Canary,A. J. Cronin,1933,Grand Canary,1934
629,The Grapes of Wrath,John Steinbeck,1939,The Grapes of Wrath,1940
630,Graveyard of Honor,Fujita Goro,1973,Graveyard of Honor,1975
631,Graveyard of Honor,Fujita Goro,1973,Graveyard of Honor,1966
632,The Great Bank Robbery,Frank O'Rourke,1969,The Great Bank Robbery,1969
633,The Great Dinosaur Robbery,David Forrest[N 21],1970,One of Our Dinosaurs Is Missing,1975
634,Great Expectations,Charles Dickens,1860–1861,Great Expectations,1917
635,Great Expectations,Charles Dickens,1860–1861,Great Expectations,1922
636,Great Expectations,Charles Dickens,1860–1861,Great Expectations,1934
637,Great Expectations,Charles Dickens,1860–1861,Great Expectations,1946
638,Great Expectations,Charles Dickens,1860–1861,Great Expectations,1974
639,Great Expectations,Charles Dickens,1860–1861,Great Expectations,1983
640,Great Expectations,Charles Dickens,1860–1861,Great Expectations,1998
641,Great Expectations,Charles Dickens,1860–1861,Great Expectations,1999
642,Great Expectations,Charles Dickens,1860–1861,Great Expectations,2012
643,Great Expectations,Charles Dickens,1860–1861,Fitoor,2016
644,The Great Gatsby,F. Scott Fitzgerald,1925,The Great Gatsby,1926
645,The Great Gatsby,F. Scott Fitzgerald,1925,The Great Gatsby,1949
646,The Great Gatsby,F. Scott Fitzgerald,1925,The Great Gatsby,1974
647,The Great Gatsby,F. Scott Fitzgerald,1925,The Great Gatsby,2000
648,The Great Gatsby,F. Scott Fitzgerald,1925,G,2002
649,The Great Gatsby,F. Scott Fitzgerald,1925,The Great Gatsby,2007
650,The Great Gatsby,F. Scott Fitzgerald,1925,The Great Gatsby,2013
651,The Great Man,Al Morgan,1955,The Great Man,1956
652,The Great Bodhisattva Pass,Teru Miyamoto,1981,Daibosatsu-tōge: Dai-ippen ~ Kogen Itto-ryu no Maki,1935
653,The Great Bodhisattva Pass,Teru Miyamoto,1981,Daibosatsu-tōge: Suzuka Yama no Maki ~ Mibu to Shimabara no Maki,1936
654,The Great Bodhisattva Pass,Teru Miyamoto,1981,Merciless Blade,1953
655,The Great Bodhisattva Pass,Teru Miyamoto,1981,Merciless Blade Part 2,1953
656,The Great Bodhisattva Pass,Teru Miyamoto,1981,Merciless Blade Part 3,1953
657,The Great Bodhisattva Pass,Teru Miyamoto,1981,Sword in the Moonlight,1957
658,The Great Bodhisattva Pass,Teru Miyamoto,1981,Sword in the Moonlight II,1958
659,The Great Bodhisattva Pass,Teru Miyamoto,1981,Sword in the Moonlight III,1959
660,The Great Bodhisattva Pass,Teru Miyamoto,1981,Satan's Sword,1960
661,The Great Bodhisattva Pass,Teru Miyamoto,1981,Satan's Sword II,1960
662,The Great Bodhisattva Pass,Teru Miyamoto,1981,Satan's Sword III: The Final Chapter,1961
663,The Great Bodhisattva Pass,Teru Miyamoto,1981,The Sword of Doom,1966
664,The Great Santini,Pat Conroy,1976,The Great Santini,1979
665,The Great Train Robbery,Michael Crichton,1975,The First Great Train Robbery,1979
666,"The Great West That Was: ""Buffalo Bill's"" Life Story","William ""Buffalo Bill"" Cody[N 22]",1916–1917,The Indians are Coming,1930
667,"The Great West That Was: ""Buffalo Bill's"" Life Story","William ""Buffalo Bill"" Cody[N 22]",1916–1917,Rustlers of Red Dog,1935
668,Green for Danger,Christianna Brand,1944,Green for Danger,1946
669,Green Mansions,William Henry Hudson,1904,Green Mansions,1959
670,The Green Mile,Stephen King,1996,The Green Mile,1999
671,The Green Years,A. J. Cronin,1944,The Green Years,1946
672,The Greengage Summer,Rumer Godden,1958,The Greengage Summer,1961
673,Grendel,John Gardner,1971,Grendel Grendel Grendel,1981
674,The Grifters,Jim Thompson,1963,The Grifters,1990
675,The Grizzly King,James Oliver Curwood,1916,The Bear,1988
676,Gros câlin,Romain Gary(as Émile Ajar),1974,Gros-Câlin,1979
677,The Grotesque,Patrick McGrath,1989,The Grotesque,1995
678,The Group,Mary McCarthy,1963,The Group,1966
679,The Guilty Head,Romain Gary,1969,Les faussaires,1994
680,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travels,1924
681,Gulliver's Travels,Jonathan Swift,1726,The New Gulliver,1935
682,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travels,1939
683,Gulliver's Travels,Jonathan Swift,1726,The 3 Worlds of Gulliver,1960
684,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travels Beyond the Moon,1965
685,Gulliver's Travels,Jonathan Swift,1726,Gulliver in the Country of Dwarfs,1974
686,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travels,1977
687,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travels,1979
688,Gulliver's Travels,Jonathan Swift,1726,Gulliver in the Country of Giants,1980
689,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travels,1983
690,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travels,1996
691,Gulliver's Travels,Jonathan Swift,1726,Crayola Kids Adventures: Tales of Gulliver's Travels,1997
692,Gulliver's Travels,Jonathan Swift,1726,Jajantaram Mamantaram,2003
693,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travel,2005
694,Gulliver's Travels,Jonathan Swift,1726,Gulliver's Travels,2010
695,The Guns of Navarone,Alistair MacLean,1957,The Guns of Navarone,1961
696,Guns of the Timberland,Louis L'Amour,1955,Guns of the Timberland,1960
697,The Gypsy Moths,James William Drought(as James Drought),1955,The Gypsy Moths,1969
699,"H.M. Pulham, Esquire",John P. Marquand,1942,"H.M. Pulham, Esq.",1941
700,Hababam Sınıfı,Rifat Ilgaz,1957,Hababam Sınıfı,1975
701,Hababam Sınıfı,Rifat Ilgaz,1957,Hababam Sınıfı Sınıfta Kaldı,1975
702,Hababam Sınıfı,Rifat Ilgaz,1957,Hababam Sınıfı Uyanıyor,1976
703,Hair from Above,Albert Mol,1969,Business Is Business,1971
704,A Hall of Mirrors,Robert Stone,1967,WUSA,1970
705,The Hamlet,William Faulkner,1940,"The Long, Hot Summer",1958
706,Hammers Over the Anvil,Alan Marshall,1952,Hammers Over the Anvil,1991
707,Hana no Furu Gogo,Teru Miyamoto,1988,Hana no Furu Gogo,1989
708,The Handmaid's Tale,Margaret Atwood,1985,The Handmaid's Tale,1990
709,Hannibal,Thomas Harris,1999,Hannibal,2001
710,Happy Land,MacKinlay Kantor,1943,Happy Land,1943
711,Al-Haram,Yusuf Idris,1959,The Sin,1965
712,Hard to Be a God,Arkady and Boris Strugatsky,1964,Hard to Be a God,1989
713,Hard to Be a God,Arkady and Boris Strugatsky,1964,Hard to Be a God,2008
714,The Harder They Fall,Budd Schulberg,1946,The Harder They Fall,1956
715,Harry Black,David Walker,1956,Harry Black,1958
716,Harry Potter,J. K. Rowling,1997–2007,Harry Potter and the Philosopher's Stone,2001
717,Harry Potter,J. K. Rowling,1997–2007,Harry Potter and the Chamber of Secrets,2002
718,Harry Potter,J. K. Rowling,1997–2007,Harry Potter and the Prisoner of Azkaban,2004
719,Harry Potter,J. K. Rowling,1997–2007,Harry Potter and the Goblet of Fire,2005
720,Harry Potter,J. K. Rowling,1997–2007,Harry Potter and the Order of the Phoenix,2007
721,Harry Potter,J. K. Rowling,1997–2007,Harry Potter and the Half-Blood Prince,2009
722,Harry Potter,J. K. Rowling,1997–2007,Harry Potter and the Deathly Hallows – Part 1,2010
723,Harry Potter,J. K. Rowling,1997–2007,Harry Potter and the Deathly Hallows – Part 2,2011
724,Hart's War,John Katzenbach,1999,Hart's War,2002
725,Haruchika,Sei Hatsuno,2008–present,Haruta & Chika,2017
726,The Harvest,Galina Nikolayeva,1950,The Return of Vasili Bortnikov,1953
727,The Harvey Girls,Samuel Hopkins Adams,1942,The Harvey Girls,1946
728,Hating Alison Ashley,Robin Klein,1984,Hating Alison Ashley,2005
729,Hatter's Castle,A. J. Cronin,1931,Hatter's Castle,1942
730,Haunted Harbor,Ewart Adamson(as Dayle Douglas),1944,Haunted Harbor,1944
731,The Haunting of Hill House,Shirley Jackson,1959,The Haunting,1963
732,The Haunting of Hill House,Shirley Jackson,1959,The Haunting,1999
733,Hawaii,James A. Michener,1959,Hawaii,1966
734,Hawaii,James A. Michener,1959,The Hawaiians,1970
735,Hawk of the Wilderness, William L. Chester,1936,Hawk of the Wilderness,1938
736,He Ran All the Way, Sam Ross,1948,He Ran All the Way,1951
737,Header,Edward Lee,1995,Header,2006
738,Headhunters,Jules Bass,2001,Monte Carlo,2011
739,Hear the Wind Sing,Haruki Murakami,1979,Hear the Wind Sing,1981
740,The Heart of the Matter,Graham Greene,1948,The Heart of the Matter,1953
741,The Heart of the Matter,Graham Greene,1948,The Heart of the Matter,1983
742,The Heaven Sword and Dragon Saber,Jin Yong,1961,Story of the Sword and the Sabre,1963–1965
743,The Heaven Sword and Dragon Saber,Jin Yong,1961,Heaven Sword and Dragon Sabre,1978
744,The Heaven Sword and Dragon Saber,Jin Yong,1961,The Hidden Power of the Dragon Sabre,1984
745,The Heaven Sword and Dragon Saber,Jin Yong,1961,Kung Fu Cult Master,1993
746,Heidi,Johanna Spyri,1880,Heidi,1937
747,Heidi,Johanna Spyri,1880,Heidi,1952
748,Heidi,Johanna Spyri,1880,Heidi and Peter,1955
749,Heidi,Johanna Spyri,1880,Do Phool,1958
750,Heidi,Johanna Spyri,1880,Heidi,1965
751,Heidi,Johanna Spyri,1880,Heidi,1968
752,Heidi,Johanna Spyri,1880,The New Adventures of Heidi,1978
753,Heidi,Johanna Spyri,1880,Heidi in the Mountains,1979
754,Heidi,Johanna Spyri,1880,Heidi's Song,1982
755,Heidi,Johanna Spyri,1880,Courage Mountain,1990
756,Heidi,Johanna Spyri,1880,Heidi,1995
757,Heidi,Johanna Spyri,1880,Heidi,2005
758,Heidi,Johanna Spyri,1880,Heidi,2005
759,Heidi,Johanna Spyri,1880,Heidi 4 Paws,2008
760,Heidi,Johanna Spyri,1880,Heidi,2015
761,Hell Has No Limits,José Donoso,1966,The Place Without Limits,1978
762,Hell House,Richard Matheson,1971,The Legend of Hell House,1973
763,Heller with a Gun,Louis L'Amour,1954,Heller in Pink Tights,1960
764,The Help,Kathryn Stockett,2009,The Help,2011
765,The Heritage of the Desert,Zane Grey,1910,Heritage of the Desert,1924
766,The Heritage of the Desert,Zane Grey,1910,Heritage of the Desert,1932
767,The Heritage of the Desert,Zane Grey,1910,Heritage of the Desert,1939
768,The High and the Mighty,Ernest K. Gann,1953,The High and the Mighty,1954
769,High Fidelity,Nick Hornby,1995,High Fidelity,2000
770,The History of Mr. Polly,H. G. Wells,1910,The History of Mr. Polly,1949
771,"The History of Tom Jones, a Foundling",Henry Fielding,1749,Tom Jones,1917
772,"The History of Tom Jones, a Foundling",Henry Fielding,1749,Tom Jones,1963
773,"The History of Tom Jones, a Foundling",Henry Fielding,1749,The Bawdy Adventures of Tom Jones,1976
774,"The History of Tom Jones, a Foundling",Henry Fielding,1749,Tom Jones,1996
775,A History of Violence,John Wagner,1997,A History of Violence,2005
776,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,2004
777,The Hobbit,J. R. R. Tolkien,1937,The Hobbit,1977
778,The Hobbit,J. R. R. Tolkien,1937,The Hobbit,1985
779,The Hobbit,J. R. R. Tolkien,1937,The Hobbit: An Unexpected Journey,2012
780,The Hobbit,J. R. R. Tolkien,1937,The Hobbit: The Desolation of Smaug,2013
781,The Hobbit,J. R. R. Tolkien,1937,The Hobbit: The Battle of the Five Armies,2014
